1	1	4
2	1	22
3	1	7
6	1	1
11	1	2
13	1	12
13	2	9
13	3	7
13	4	7
14	1	12
16	1	6
17	1	15
17	2	9
17	3	16
17	4	9
18	1	51
18	2	8
19	1	9
20	1	6
21	1	4
22	1	140
24	1	6
25	1	22
27	1	13
28	1	10
29	1	7
29	2	8
30	1	19
31	1	35
34	1	33
35	1	2
37	1	13
37	2	5
38	1	21
40	1	8
41	1	6
42	1	9
43	1	5
43	2	4
44	1	19
45	1	1
46	1	23
47	1	17
48	1	3
49	1	25
51	1	2
52	1	4
53	1	29
54	1	11
56	1	7
57	1	1
57	2	4
58	1	1
59	1	5
59	2	5
60	1	14
62	1	17
62	2	27
64	1	19
66	1	16
68	1	16
73	1	20
73	2	9
74	1	8
74	2	4
75	1	14
75	2	6
77	1	1
78	1	3
80	1	20
81	1	2
82	1	8
83	1	6
84	1	7
85	1	4
86	1	10
87	1	11
87	2	4
89	1	1
90	1	11
90	2	11
91	1	3
92	1	1
93	1	9
94	1	9
97	1	7
100	1	10
101	1	31
102	1	7
103	1	3
103	2	5
105	1	9
107	1	39
111	1	2
112	1	14
112	2	9
113	1	6
114	1	23
115	1	12
115	2	4
116	1	4
119	1	2
120	1	2
121	1	16
121	2	9
122	1	12
122	2	9
122	3	7
124	1	5
125	1	6
125	2	4
126	1	11
126	2	11
127	1	13
128	1	5
129	1	41
129	2	8
130	1	3
131	1	36
131	2	6
132	1	10
133	1	9
133	2	27
135	1	1
135	2	4
137	1	14
139	1	11
139	2	8
140	1	3
140	2	6
142	1	24
142	2	9
143	1	14
143	2	8
144	1	1
144	2	13
144	3	6
145	1	7
146	1	7
146	2	7
147	1	3
148	1	42
148	2	15
154	1	2
155	1	10
155	2	8
156	1	6
157	1	14
158	1	4
158	2	3
159	1	8
160	1	5
162	1	5
163	1	18
163	2	21
165	1	6
165	2	6
166	1	8
167	1	26
168	1	17
168	2	8
169	1	14
170	1	1
171	1	4
171	2	10
172	1	4
173	1	60
173	2	9
174	1	15
179	1	16
180	1	8
181	1	2
182	1	9
185	1	2
186	1	3
187	1	40
188	1	7
190	1	13
190	2	10
191	1	14
192	1	17
193	1	79
193	2	4
193	3	4
196	1	9
196	2	11
197	1	14
197	2	16
197	3	6
198	1	20
199	1	25
201	1	23
202	1	5
202	2	16
203	1	12
203	2	8
204	1	5
204	2	5
205	1	6
206	1	15
206	2	3
208	1	2
209	1	14
211	1	7
213	1	4
214	1	8
214	2	14
215	1	7
216	1	2
217	1	4
218	1	18
218	2	13
219	1	11
220	1	19
220	2	3
220	3	3
221	1	2
223	1	9
224	1	18
225	1	9
225	2	3
227	1	5
227	2	7
228	1	5
228	2	6
228	3	6
229	1	15
229	2	8
230	1	9
231	1	11
232	1	6
233	1	20
233	2	13
234	1	7
235	1	5
235	2	10
236	1	11
236	2	5
237	1	11
238	1	8
238	2	11
239	1	21
239	2	5
241	1	17
